completed_steps,training_loss,validation_loss,lr,memory_gib,tokens_per_second
100,1.8935387134552002,2.037043571472168,9.998197782032449e-06,,32779.44813962184
101,1.9533979892730713,,9.998157512996615e-06,,1784.95576761853
102,1.9548574686050415,,9.998116799121198e-06,,30275.548710131305
103,1.9744046926498413,,9.998075640410225e-06,,47046.418256625235
104,1.9110562801361084,,9.998034036867768e-06,,48692.12855937249
105,1.954059362411499,,9.997991988497938e-06,,47425.825603407415
106,1.8763148784637451,,9.997949495304896e-06,,48431.32931982649
107,2.1046056747436523,,9.997906557292842e-06,,49183.26334034943
108,1.9500627517700195,,9.997863174466022e-06,,49229.42795903702
109,1.916585087776184,,9.997819346828731e-06,,20314.664138039487
110,1.929205298423767,,9.997775074385298e-06,,22534.898361453652
111,1.9821280241012573,,9.997730357140103e-06,,22293.683144691702
112,1.9358257055282593,,9.99768519509757e-06,,32980.87544711658
113,1.8451999425888062,,9.997639588262162e-06,,36802.70289828631
114,1.9621543884277344,,9.997593536638391e-06,,25392.28324772639
115,1.7876925468444824,,9.997547040230813e-06,,50315.852395198286
116,1.8297408819198608,,9.997500099044024e-06,,40867.118834477355
117,1.933931589126587,,9.997452713082665e-06,,40202.46023072483
118,1.8690356016159058,,9.997404882351425e-06,,28703.47894616318
119,2.038208246231079,,9.997356606855032e-06,,19506.362503338998
120,1.8459419012069702,,9.997307886598262e-06,,32634.549243704085
121,1.7981325387954712,,9.997258721585933e-06,,36467.13571752158
122,1.972651481628418,,9.997209111822904e-06,,26214.52448667514
123,1.9211256504058838,,9.997159057314086e-06,,36904.95219599318
124,1.8759710788726807,,9.997108558064423e-06,,49632.53056759936
125,1.90788996219635,2.037078380584717,9.997057614078916e-06,,48299.680234101535
126,1.973644733428955,,9.997006225362596e-06,,24677.16818930451
127,1.9449706077575684,,9.996954391920552e-06,,22314.453226098263
128,1.880494236946106,,9.996902113757905e-06,,22038.620086626823
129,1.8774527311325073,,9.996849390879826e-06,,37519.40452402454
130,1.9653146266937256,,9.99679622329153e-06,,42660.77441179928
131,1.9449405670166016,,9.996742610998275e-06,,26366.18362839511
132,1.990976095199585,,9.996688554005363e-06,,36684.45512766279
133,1.8832781314849854,,9.996634052318138e-06,,47599.79134219118
134,1.909176230430603,,9.996579105941993e-06,,50267.50101975548
135,1.918687343597412,,9.996523714882358e-06,,37233.500486144716
136,1.9003841876983643,,9.996467879144715e-06,,22710.9267152889
137,1.8383857011795044,,9.996411598734581e-06,,24481.60961637218
138,1.8896547555923462,,9.996354873657526e-06,,33344.80283415307
139,1.8917152881622314,,9.996297703919158e-06,,37324.62033123289
140,1.863936185836792,,9.996240089525132e-06,,33472.58138756952
141,1.893312692642212,,9.996182030481141e-06,,42542.82990091447
142,1.8645237684249878,,9.996123526792935e-06,,50168.19894399052
143,1.9656648635864258,,9.996064578466292e-06,,47627.364192990586
144,1.9139974117279053,,9.996005185507045e-06,,29647.48812560661
145,1.8964201211929321,,9.995945347921068e-06,,19354.921642858888
146,1.9273884296417236,,9.995885065714277e-06,,26383.475373259116
147,1.843116044998169,,9.995824338892635e-06,,42216.575675219836
148,1.9656577110290527,,9.995763167462146e-06,,41893.302341464594
149,1.9041253328323364,,9.99570155142886e-06,,24731.792132497998
150,1.8604024648666382,2.036806106567383,9.99563949079887e-06,,40758.82797678987
151,1.9346671104431152,,9.995576985578315e-06,,26768.463743712335
152,1.8130818605422974,,9.995514035773377e-06,,50122.25868035526
153,1.9923961162567139,,9.995450641390277e-06,,15545.34052421871
154,1.947105884552002,,9.99538680243529e-06,,26759.00790803995
155,1.8503955602645874,,9.995322518914726e-06,,29662.12431660498
156,1.9094767570495605,,9.99525779083494e-06,,36470.449274387174
157,1.9402111768722534,,9.995192618202336e-06,,26934.53311328708
158,1.97853422164917,,9.995127001023362e-06,,42634.38062988667
159,1.882042646408081,,9.9950609393045e-06,,50460.74875140713
160,1.8081107139587402,,9.994994433052291e-06,,50155.52865180334
161,1.935664176940918,,9.994927482273306e-06,,43354.19368453368
162,1.9725325107574463,,9.99486008697417e-06,,19726.133565980155
163,1.958553433418274,,9.994792247161545e-06,,29646.43419414583
164,1.8163654804229736,,9.994723962842142e-06,,26709.587025502602
165,1.9924638271331787,,9.994655234022713e-06,,36283.73924758519
166,1.9172669649124146,,9.994586060710052e-06,,27018.37996119612
167,1.9048914909362793,,9.994516442911007e-06,,49555.556713948106
168,1.9279124736785889,,9.994446380632457e-06,,49984.38357662017
169,1.9092023372650146,,9.99437587388133e-06,,42464.822711531044
170,1.8954594135284424,,9.994304922664603e-06,,29885.972456207426
171,1.9475489854812622,,9.99423352698929e-06,,22850.59034762645
172,1.8831346035003662,,9.994161686862452e-06,,29460.673703123288
173,1.8961344957351685,,9.994089402291195e-06,,32973.787711313074
174,1.9661792516708374,,9.994016673282664e-06,,38581.88808753627
175,1.7870146036148071,2.036325693130493,9.993943499844054e-06,,27131.13964416649
176,1.9799073934555054,,9.993869881982604e-06,,26462.32895235724
177,1.88108229637146,,9.993795819705588e-06,,48363.44310390023
178,1.9410326480865479,,9.993721313020332e-06,,48942.57833029481
179,1.9266457557678223,,9.99364636193421e-06,,19816.986602926438
180,1.8342183828353882,,9.993570966454627e-06,,27062.189133652446
181,1.977899432182312,,9.993495126589043e-06,,29491.765824607046
182,1.8320162296295166,,9.993418842344958e-06,,39178.600600211146
183,1.8959845304489136,,9.993342113729916e-06,,29872.364762955393
184,1.836537480354309,,9.993264940751503e-06,,33129.54562124531
185,1.7520151138305664,,9.993187323417351e-06,,49732.06191248127
186,1.9553828239440918,,9.99310926173514e-06,,50136.25048163084
187,1.836732029914856,,9.993030755712585e-06,,42630.47082755221
188,1.8473187685012817,,9.99295180535745e-06,,18418.731722072138
189,1.902225375175476,,9.992872410677547e-06,,24534.75145511791
190,1.8742539882659912,,9.992792571680725e-06,,28546.883032247057
191,1.8405215740203857,,9.992712288374879e-06,,36585.27428133022
192,1.8878287076950073,,9.992631560767947e-06,,36720.69379549798
193,1.8476812839508057,,9.992550388867918e-06,,33482.505015263894
194,1.8715379238128662,,9.992468772682813e-06,,48445.49712510382
195,1.8059309720993042,,9.992386712220707e-06,,39724.28829694667
196,1.8870567083358765,,9.992304207489714e-06,,42139.28792294438
197,1.927896499633789,,9.992221258497996e-06,,16501.508465033476
198,1.903466820716858,,9.992137865253752e-06,,22723.868092099823
199,1.874089002609253,,9.992054027765231e-06,,28713.389057455628
200,1.8792688846588135,2.036835193634033,9.991969746040725e-06,,32804.14523814997
